,CDSCode,Zip,median_income,mean_income,County,Distrinct,School Name,District Type,School Type,Low Grade,High Grade,Enrollment (K-12),Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),AvgScrRead,AvgScrMath,AvgScrWrite,FreeLunch,ReducedLunch,FullLunch
53,04615150434803,95966.0,40775,54643,Butte,,Las Plumas High,High School District,High Schools (Public),9,12,1112.0,1112.0,612.0,0.550359712230216,694.0,0.62410071942446,511.0,522.0,489.0,0.550359712230216,0.07374100719424403,0.37589928057554
54,04615150435602,95966.0,40775,54643,Butte,,Oroville High,High School District,High Schools (Public),9,12,982.0,982.0,631.0,0.642566191446029,692.0,0.704684317718941,464.0,485.0,446.0,0.642566191446029,0.06211812627291202,0.295315682281059
55,04615310437350,95969.0,41982,58737,Butte,,Paradise Senior High,Unified School District,High Schools (Public),9,12,1106.0,1106.0,498.0,0.450271247739602,601.0,0.543399638336347,526.0,545.0,504.0,0.450271247739602,0.09312839059674499,0.45660036166365303
56,04755070433953,95948.0,44423,57916,Butte,,Gridley High,Unified School District,High Schools (Public),9,12,622.0,622.0,388.0,0.62379421221865,433.0,0.696141479099679,498.0,491.0,497.0,0.62379421221865,0.0723472668810291,0.30385852090032095
57,05615640531509,95249.0,41458,52752,Calaveras,,Calaveras High,Unified School District,High Schools (Public),9,12,956.0,956.0,312.0,0.326359832635983,385.0,0.402719665271967,513.0,503.0,485.0,0.326359832635983,0.076359832635984,0.597280334728033
58,06615980631259,95932.0,46453,64550,Colusa,,Colusa High,Unified School District,High Schools (Public),9,12,371.0,371.0,152.0,0.409703504043127,209.0,0.563342318059299,472.0,501.0,454.0,0.409703504043127,0.15363881401617202,0.436657681940701
59,06616140635250,95912.0,50764,63128,Colusa,,Pierce High,Unified School District,High Schools (Public),9,12,424.0,424.0,190.0,0.44811320754717,248.0,0.584905660377359,458.0,443.0,432.0,0.44811320754717,0.13679245283018904,0.415094339622641
60,07617960730275,94806.0,52173,64685,Contra Costa,,North Campus Continuation,Unified School District,Continuation High Schools,9,12,180.0,180.0,126.0,0.7,135.0,0.75,324.0,307.0,328.0,0.7,0.050000000000000044,0.25
61,07617960730291,94806.0,52173,64685,Contra Costa,,Middle College High,Unified School District,High Schools (Public),9,12,267.0,267.0,110.0,0.411985018726592,140.0,0.524344569288389,500.0,526.0,509.0,0.411985018726592,0.11235955056179703,0.475655430711611
62,07100740731380,94521.0,84819,101516,Contra Costa,,Clayton Valley Charter High,County Office of Education (COE),High Schools (Public),9,12,1973.0,1973.0,237.0,0.120121642169285,338.0,0.171312721743538,512.0,508.0,501.0,0.120121642169285,0.05119107957425301,0.828687278256462
63,07617540731836,94521.0,84819,101516,Contra Costa,,Concord High,Unified School District,High Schools (Public),9,12,1544.0,1544.0,578.0,0.374352331606218,746.0,0.483160621761658,491.0,505.0,488.0,0.374352331606218,0.10880829015544002,0.516839378238342
