Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School (Y/N),Charter School Number,Charter Funding Type,IRC,Low Grade,High Grade,Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),Enrollment (Ages 5-17),Free Meal Count (Ages 5-17),Percent (%) Eligible Free (Ages 5-17),FRPM Count (Ages 5-17),Percent (%) Eligible FRPM (Ages 5-17),2013-14 CALPADS Fall 1 Certification Status
2014-2015,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,High Schools (Public),Traditional,,1,0352,Directly funded,1,6,12,376.0,35.0,0.0930851063829787,47.0,0.125,374.0,33.0,0.0882352941176471,45.0,0.120320855614973,1
2014-2015,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,1,0398,Directly funded,1,9,12,161.0,123.0,0.763975155279503,148.0,0.919254658385093,142.0,110.0,0.774647887323944,132.0,0.929577464788732,1
2014-2015,01,61119,0132878,Alameda,Alameda Unified,Encinal High,Unified School District,High Schools (Public),Traditional,,0,,,0,9,12,1052.0,371.0,0.352661596958175,447.0,0.42490494296578,1003.0,349.0,0.347956131605184,422.0,0.42073778664008,1
2014-2015,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,,0,,,0,9,12,144.0,73.0,0.506944444444444,83.0,0.576388888888889,112.0,54.0,0.482142857142857,63.0,0.5625,1
2014-2015,01,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,519.0,127.0,0.244701348747592,159.0,0.30635838150289,504.0,123.0,0.244047619047619,155.0,0.307539682539683,1
2014-2015,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,486.0,50.0,0.102880658436214,58.0,0.119341563786008,486.0,50.0,0.102880658436214,58.0,0.119341563786008,1
2014-2015,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,588.0,74.0,0.125850340136054,100.0,0.170068027210884,588.0,74.0,0.125850340136054,100.0,0.170068027210884,1
2014-2015,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,326.0,39.0,0.119631901840491,50.0,0.153374233128834,326.0,39.0,0.119631901840491,50.0,0.153374233128834,1
2014-2015,01,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,452.0,214.0,0.473451327433628,254.0,0.561946902654867,432.0,207.0,0.479166666666667,246.0,0.569444444444444,1
2014-2015,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,900.0,105.0,0.116666666666667,139.0,0.154444444444444,900.0,105.0,0.116666666666667,139.0,0.154444444444444,1
