Zip,median_income,mean_income
95333,42366,55202
95334,50740,64092
95335,33309,51508
95336,56885,70185
95337,66711,80007
95338,47692,63439
95340,49688,67091
95341,32233,45442
95345,41042,65614
95346,49708,59134
95348,40903,57041
95350,40461,56835
95351,34732,43686
95354,36254,54838
95355,56646,72845
95356,65208,90024
95357,53235,64936
95358,49567,63921
95360,42213,49939
95361,57652,76088
95363,53466,68241
95365,32319,45301
95366,75300,96226
95367,59056,69247
95368,72939,77769
95369,48510,65557
95370,48912,64511
95372,79457,77462
95374,44000,67110
95376,62262,75222
95377,96860,107833
95379,54792,63207
95380,39743,53597
95382,64874,78471
95383,42299,64047
95385,37631,46425
95386,47868,59080
95387,28472,41771
95388,42677,54592
95389,45588,63499
95391,107095,103889
95401,52813,69272
95403,63029,80799
95404,67001,93206
95405,72156,88638
95407,53652,64170
95409,65425,84489
95410,37703,46026
95412,51875,64493
95415,34643,40445
95417,71301,72011
95420,51618,65144
95421,58289,76922
95422,25934,36011
95423,27379,39248
95425,57400,75386
95426,66750,70564
95427,21410,42213
95428,32782,46989
95429,73125,80448
95432,32431,44002
95436,53368,65433
95437,38276,60353
95439,73542,77998
95441,59545,80347
95442,64712,95525
95443,15529,21500
95444,72607,65592
95445,36201,57269
95446,43564,62358
95448,62076,98192
95449,37321,51418
95450,51389,74765
95451,45392,58782
95452,78114,152543
95453,45299,60817
95454,36196,48349
95456,38750,46924
95457,42829,53656
95458,20980,31518
95459,43594,58050
95460,49470,70631
95461,52143,65383
95462,37083,53841
95464,26667,38719
95465,68636,98008
95466,50500,61267
95467,65706,70009
95468,44412,50512
95469,49545,71056
95470,58810,70341
95471,43854,48560
95472,68804,90355
95476,60100,102260
95482,45953,63633
95485,29708,43456
95486,28897,27077
95488,56683,56426
95490,37692,47639
95492,81093,93811
95493,88333,61883
95494,46319,75382
95497,59375,82265
95501,38175,49159
95503,48681,62415
95511,13750,17736
95514,22893,19589
95519,50051,64072
95521,32711,49943
95524,69760,81405
95525,48142,62856
95526,21979,34361
95527,34911,49852
95528,44554,52609
95531,41136,54394
95536,50227,72158
95537,16537,35084
95540,42655,58382
95542,35634,44113
95543,31964,42925
95545,64375,66374
95546,26281,45581
95547,56081,67422
95548,26058,41517
95549,56607,68090
95550,44333,45974
95551,45729,55812
95552,34583,37590
95553,41393,56559
95554,23750,31306
95555,33125,60200
95556,48839,45868
95558,36000,58290
95559,22904,20481
95560,29913,41218
95562,40181,61091
95563,40500,52277
95564,53056,63264
95565,54034,67213
95567,36563,50537
95568,42500,40309
95569,31932,38738
95570,50500,59068
95571,93393,73777
